 �bitos infantis - Brasil
�bitos p/Resid�nc por Munic�pio
Per�odo:2022
"Munic�pio";"�bitos_p/Resid�nc"
"150350 IRITUIA";4
"150360 ITAITUBA";47
"150370 ITUPIRANGA";10
"150375 JACAREACANGA";13
"150380 JACUNDA";9
"150390 JURUTI";8
"150400 LIMOEIRO DO AJURU";10
"150405 MAE DO RIO";5
"150420 MARABA";62
"150430 MARACANA";8
"150440 MARAPANIM";5
"150442 MARITUBA";18
"150445 MEDICILANDIA";4
"150450 MELGACO";12
"150460 MOCAJUBA";10
"150470 MOJU";11
"150475 MOJUI DOS CAMPOS";4
"150480 MONTE ALEGRE";16
"150490 MUANA";6
"150495 NOVA ESPERANCA DO PIRIA";1
"150497 NOVA IPIXUNA";1
"150500 NOVA TIMBOTEUA";3
"150503 NOVO PROGRESSO";11
"150506 NOVO REPARTIMENTO";17
"150510 OBIDOS";23
"150520 OEIRAS DO PARA";15
"150530 ORIXIMINA";30
"150540 OUREM";1
"150543 OURILANDIA DO NORTE";10
"150548 PACAJA";14
"150549 PALESTINA DO PARA";1
"150550 PARAGOMINAS";29
"150553 PARAUAPEBAS";58
"150555 PAU D'ARCO";1
"150563 PICARRA";1
"150565 PLACAS";7
"150570 PONTA DE PEDRAS";7
"150580 PORTEL";27
"150590 PORTO DE MOZ";7
"150600 PRAINHA";6
"150611 QUATIPURU";2
"150613 REDENCAO";29
"150616 RIO MARIA";7
"150618 RONDON DO PARA";5
"150619 RUROPOLIS";6
"150620 SALINOPOLIS";12
"150630 SALVATERRA";7
"150635 SANTA BARBARA DO PARA";4
"150650 SANTA IZABEL DO PARA";14
"150655 SANTA LUZIA DO PARA";5
"150658 SANTA MARIA DAS BARREIRAS";3
"150660 SANTA MARIA DO PARA";3
"150670 SANTANA DO ARAGUAIA";7
"150680 SANTAREM";106
"150690 SANTAREM NOVO";1
"150700 SANTO ANTONIO DO TAUA";9
"150710 SAO CAETANO DE ODIVELAS";2
"150715 SAO DOMINGOS DO ARAGUAIA";1
"150720 SAO DOMINGOS DO CAPIM";4
"150730 SAO FELIX DO XINGU";13
"150740 SAO FRANCISCO DO PARA";3
"150745 SAO GERALDO DO ARAGUAIA";7
"150747 SAO JOAO DE PIRABAS";5
"150750 SAO JOAO DO ARAGUAIA";3
"150760 SAO MIGUEL DO GUAMA";9
"150770 SAO SEBASTIAO DA BOA VISTA";7
"150775 SAPUCAIA";2
"150780 SENADOR JOSE PORFIRIO";13
"150790 SOURE";5
"150795 TAILANDIA";24
"150796 TERRA ALTA";2
"150797 TERRA SANTA";8
"150800 TOME-ACU";13
"150803 TRACUATEUA";7
"150805 TRAIRAO";6
"150808 TUCUMA";14
"150810 TUCURUI";18
"150812 ULIANOPOLIS";2
"150815 URUARA";17
"150820 VIGIA";12
"150830 VISEU";12
"150835 VITORIA DO XINGU";3
"150840 XINGUARA";9
"160005 SERRA DO NAVIO";2
"160010 AMAPA";2
"160015 PEDRA BRANCA DO AMAPARI";5
"160020 CALCOENE";4
"160023 FERREIRA GOMES";3
"160025 ITAUBAL";1
"160027 LARANJAL DO JARI";14
"160030 MACAPA";150
"160040 MAZAGAO";3
"160050 OIAPOQUE";10
"160053 PORTO GRANDE";8
"160055 PRACUUBA";1
"160060 SANTANA";35
"160070 TARTARUGALZINHO";6
"160080 VITORIA DO JARI";2
"170025 ABREULANDIA";1
"170035 ALIANCA DO TOCANTINS";2
"170070 ALVORADA";2
"170105 ANGICO";1
"170130 ARAGOMINAS";1
"170190 ARAGUACEMA";2
"170210 ARAGUAINA";28
"170215 ARAGUANA";3
"170220 ARAGUATINS";8
"170240 ARRAIAS";1
"170255 AUGUSTINOPOLIS";2
"170290 AXIXA DO TOCANTINS";1
"170305 BANDEIRANTES DO TOCANTINS";2
"170307 BARRA DO OURO";1
"170310 BARROLANDIA";1
"170320 BERNARDO SAYAO";1
"170330 BOM JESUS DO TOCANTINS";1
"170380 BURITI DO TOCANTINS";1
"170384 CAMPOS LINDOS";3
"170410 CENTENARIO";1
"170550 COLINAS DO TOCANTINS";6
"170560 CONCEICAO DO TOCANTINS";2
"170600 COUTO MAGALHAES";1
"170610 CRISTALANDIA";2
"170650 DARCINOPOLIS";2
"170700 DIANOPOLIS";7
"170710 DIVINOPOLIS DO TOCANTINS";1
"170720 DOIS IRMAOS DO TOCANTINS";2
"170740 ESPERANTINA";3
"170820 FORMOSO DO ARAGUAIA";3
"170900 GOIATINS";8
"170930 GUARAI";6
"170950 GURUPI";8
"171050 ITACAJA";2
"171070 ITAGUATINS";1
"171150 JAU DO TOCANTINS";1
"171180 JUARINA";1
"171190 LAGOA DA CONFUSAO";5
"171200 LAJEADO";1
"171215 LAVANDEIRA";2
"171240 LIZARDA";1
"171250 MARIANOPOLIS DO TOCANTINS";1
"171270 MATEIROS";2
"171280 MAURILANDIA DO TOCANTINS";1
"171320 MIRACEMA DO TOCANTINS";5
"171330 MIRANORTE";5
"171360 MONTE DO CARMO";2
"171420 NATIVIDADE";2
"171430 NAZARE";2
"171488 NOVA OLINDA";4
"171510 NOVO ACORDO";1
"171515 NOVO ALEGRE";1
"171570 PALMEIRANTE";3
"171610 PARAISO DO TOCANTINS";5
"171620 PARANA";4
"171630 PAU D'ARCO";1
"171650 PEDRO AFONSO";6
"171660 PEIXE";3
"171665 PEQUIZEIRO";2
"171700 PINDORAMA DO TOCANTINS";2
"171790 PONTE ALTA DO TOCANTINS";2
"171800 PORTO ALEGRE DO TOCANTINS";2
"171820 PORTO NACIONAL";16
"171875 RIO SONO";1
"171880 SAMPAIO";1
"171884 SANDOLANDIA";1
"171886 SANTA FE DO ARAGUAIA";1
"171890 SANTA ROSA DO TOCANTINS";2
"171900 SANTA TEREZA DO TOCANTINS";1
"172000 SANTA TEREZINHA DO TOCANTINS";1
"172020 SAO MIGUEL DO TOCANTINS";1
"172030 SAO SEBASTIAO DO TOCANTINS";1
"172049 SAO VALERIO";1
"172065 SILVANOPOLIS";2
"172080 SITIO NOVO DO TOCANTINS";2
"172090 TAGUATINGA";1
"172093 TAIPAS DO TOCANTINS";1
"172097 TALISMA";1
"172100 PALMAS";51
"172110 TOCANTINIA";1
"172120 TOCANTINOPOLIS";5
"172208 WANDERLANDIA";2
"172210 XAMBIOA";1
" MUNICIPIO IGNORADO - MA";1
"210005 ACAILANDIA";26
"210010 AFONSO CUNHA";1
"210015 AGUA DOCE DO MARANHAO";2
"210020 ALCANTARA";6
"210030 ALDEIAS ALTAS";2
"210040 ALTAMIRA DO MARANHAO";1
"210043 ALTO ALEGRE DO MARANHAO";7
"210047 ALTO ALEGRE DO PINDARE";5
"210050 ALTO PARNAIBA";2
"210055 AMAPA DO MARANHAO";1
"210060 AMARANTE DO MARANHAO";9
"210070 ANAJATUBA";8
"210080 ANAPURUS";4
"210083 APICUM-ACU";3
"210087 ARAGUANA";1
"210090 ARAIOSES";11
"210095 ARAME";10
"210100 ARARI";1
"210110 AXIXA";3
"210120 BACABAL";16
"210125 BACABEIRA";2
"210130 BACURI";3
"210135 BACURITUBA";1
"210140 BALSAS";23
"210150 BARAO DE GRAJAU";3
"210160 BARRA DO CORDA";23
"210170 BARREIRINHAS";15
"210173 BELAGUA";4
"210177 BELA VISTA DO MARANHAO";4
"210180 BENEDITO LEITE";2
"210190 BEQUIMAO";5
"210200 BOM JARDIM";12
"210203 BOM JESUS DAS SELVAS";7
"210207 BOM LUGAR";1
"210210 BREJO";8
"210215 BREJO DE AREIA";2
"210220 BURITI";11
"210230 BURITI BRAVO";5
"210232 BURITICUPU";15
"210235 BURITIRANA";8
"210237 CACHOEIRA GRANDE";2
"210240 CAJAPIO";3
"210250 CAJARI";6
"210255 CAMPESTRE DO MARANHAO";2
"210260 CANDIDO MENDES";6
"210270 CANTANHEDE";3
"210275 CAPINZAL DO NORTE";3
"210280 CAROLINA";6
"210290 CARUTAPERA";4
"210300 CAXIAS";37
"210310 CEDRAL";2
"210312 CENTRAL DO MARANHAO";2
"210315 CENTRO DO GUILHERME";1
"210317 CENTRO NOVO DO MARANHAO";5
"210320 CHAPADINHA";19
"210325 CIDELANDIA";7
"210330 CODO";18
"210340 COELHO NETO";10
"210350 COLINAS";17
"210355 CONCEICAO DO LAGO-ACU";4
"210360 COROATA";10
"210370 CURURUPU";4
"210375 DAVINOPOLIS";2
"210380 DOM PEDRO";6
"210390 DUQUE BACELAR";2
"210400 ESPERANTINOPOLIS";3
"210405 ESTREITO";9
"210407 FEIRA NOVA DO MARANHAO";1
"210408 FERNANDO FALCAO";6
"210409 FORMOSA DA SERRA NEGRA";5
"210410 FORTALEZA DOS NOGUEIRAS";3
"210420 FORTUNA";2
"210430 GODOFREDO VIANA";4
"210440 GONCALVES DIAS";2
"210450 GOVERNADOR ARCHER";2
"210455 GOVERNADOR EDISON LOBAO";7
"210460 GOVERNADOR EUGENIO BARROS";3
"210465 GOVERNADOR NEWTON BELLO";2
"210467 GOVERNADOR NUNES FREIRE";6
"210480 GRAJAU";29
"210500 HUMBERTO DE CAMPOS";8
"210510 ICATU";3
"210515 IGARAPE DO MEIO";2
"210520 IGARAPE GRANDE";2
"210530 IMPERATRIZ";62
"210535 ITAIPAVA DO GRAJAU";1
"210540 ITAPECURU MIRIM";14
"210542 ITINGA DO MARANHAO";5
"210545 JATOBA";5
"210547 JENIPAPO DOS VIEIRAS";12
"210550 JOAO LISBOA";6
"210560 JOSELANDIA";4
"210565 JUNCO DO MARANHAO";1
"210570 LAGO DA PEDRA";12
"210580 LAGO DO JUNCO";3
"210590 LAGO VERDE";3
"210592 LAGOA DO MATO";3
"210596 LAGOA GRANDE DO MARANHAO";4
"210598 LAJEADO NOVO";1
"210600 LIMA CAMPOS";3
"210610 LORETO";3
"210620 LUIS DOMINGUES";1
"210630 MAGALHAES DE ALMEIDA";2
"210632 MARACACUME";6
"210635 MARAJA DO SENA";3
"210637 MARANHAOZINHO";1
"210640 MATA ROMA";1
"210650 MATINHA";2
"210660 MATOES";5
"210663 MATOES DO NORTE";2
"210670 MIRADOR";10
"210675 MIRANDA DO NORTE";4
"210680 MIRINZAL";7
"210690 MONCAO";13
"210700 MONTES ALTOS";3
"210710 MORROS";1
"210720 NINA RODRIGUES";4
"210735 NOVA OLINDA DO MARANHAO";2
"210740 OLHO D'AGUA DAS CUNHAS";1
"210745 OLINDA NOVA DO MARANHAO";3
"210750 PACO DO LUMIAR";28
"210760 PALMEIRANDIA";6
"210770 PARAIBANO";5
"210780 PARNARAMA";5
"210790 PASSAGEM FRANCA";4
"210800 PASTOS BONS";4
"210805 PAULINO NEVES";5
"210810 PAULO RAMOS";3
"210820 PEDREIRAS";7
"210825 PEDRO DO ROSARIO";7
"210830 PENALVA";11
"210840 PERI MIRIM";1
"210845 PERITORO";8
"210850 PINDARE-MIRIM";1
"210860 PINHEIRO";16
"210870 PIO XII";5
"210880 PIRAPEMAS";3
"210890 POCAO DE PEDRAS";3
"210900 PORTO FRANCO";5
"210910 PRESIDENTE DUTRA";5
"210920 PRESIDENTE JUSCELINO";3
"210927 PRESIDENTE SARNEY";5
"210930 PRESIDENTE VARGAS";1
"210940 PRIMEIRA CRUZ";2
"210945 RAPOSA";8
"210950 RIACHAO";5
"210960 ROSARIO";9
"210980 SANTA HELENA";2
"210990 SANTA INES";15
"211000 SANTA LUZIA";17
"211003 SANTA LUZIA DO PARUA";5
"211010 SANTA QUITERIA DO MARANHAO";3
"211020 SANTA RITA";11
"211027 SANTO AMARO DO MARANHAO";3
"211030 SANTO ANTONIO DOS LOPES";2
"211040 SAO BENEDITO DO RIO PRETO";3
"211050 SAO BENTO";4
"211060 SAO BERNARDO";8
"211065 SAO DOMINGOS DO AZEITAO";4
"211070 SAO DOMINGOS DO MARANHAO";5
"211080 SAO FELIX DE BALSAS";1
"211085 SAO FRANCISCO DO BREJAO";2
"211090 SAO FRANCISCO DO MARANHAO";1
"211100 SAO JOAO BATISTA";5
"211102 SAO JOAO DO CARU";2
"211105 SAO JOAO DO PARAISO";1
"211107 SAO JOAO DO SOTER";2
"211110 SAO JOAO DOS PATOS";3
"211120 SAO JOSE DE RIBAMAR";56
"211125 SAO JOSE DOS BASILIOS";1
"211130 SAO LUIS";240
"211140 SAO LUIS GONZAGA DO MARANHAO";6
"211150 SAO MATEUS DO MARANHAO";5
"211153 SAO PEDRO DA AGUA BRANCA";6
"211157 SAO PEDRO DOS CRENTES";1
"211160 SAO RAIMUNDO DAS MANGABEIRAS";2
"211163 SAO RAIMUNDO DO DOCA BEZERRA";1
"211167 SAO ROBERTO";4
"211170 SAO VICENTE FERRER";6
"211174 SENADOR ALEXANDRE COSTA";4
"211178 SERRANO DO MARANHAO";3
"211180 SITIO NOVO";5
"211190 SUCUPIRA DO NORTE";2
"211195 SUCUPIRA DO RIACHAO";1
"211200 TASSO FRAGOSO";3
"211210 TIMBIRAS";5
"211220 TIMON";42
"211223 TRIZIDELA DO VALE";4
"211230 TUNTUM";8
"211240 TURIACU";9
"211245 TURILANDIA";4
"211250 TUTOIA";10
"211260 URBANO SANTOS";8
"211270 VARGEM GRANDE";6
"211280 VIANA";10
"211285 VILA NOVA DOS MARTIRIOS";2
"211290 VITORIA DO MEARIM";2
"211300 VITORINO FREIRE";5
"211400 ZE DOCA";9
"220005 ACAUA";1
"220010 AGRICOLANDIA";2
"220020 AGUA BRANCA";4
"220025 ALAGOINHA DO PIAUI";1
"220030 ALTO LONGA";1
"220040 ALTOS";7
"220045 ALVORADA DO GURGUEIA";2
"220050 AMARANTE";7
"220060 ANGICAL DO PIAUI";1
"220070 ANISIO DE ABREU";2
"220090 AROAZES";1
"220100 ARRAIAL";1
"220105 ASSUNCAO DO PIAUI";3
"220110 AVELINO LOPES";1
"220115 BAIXA GRANDE DO RIBEIRO";3
"220117 BARRA D'ALCANTARA";4
"220120 BARRAS";7
"220150 BATALHA";9
"220155 BELA VISTA DO PIAUI";1
"220157 BELEM DO PIAUI";1
"220160 BENEDITINOS";1
"220173 BETANIA DO PIAUI";4
"220177 BOA HORA";3
"220190 BOM JESUS";9
"220191 BOM PRINCIPIO DO PIAUI";1
"220200 BURITI DOS LOPES";2
"220202 BURITI DOS MONTES";1
"220205 CABECEIRAS DO PIAUI";4
"220208 CAJUEIRO DA PRAIA";1
"220209 CALDEIRAO GRANDE DO PIAUI";1
"220211 CAMPO ALEGRE DO FIDALGO";3
"220213 CAMPO GRANDE DO PIAUI";1
"220217 CAMPO LARGO DO PIAUI";2
"220220 CAMPO MAIOR";4
"220225 CANAVIEIRA";1
"220230 CANTO DO BURITI";4
"220240 CAPITAO DE CAMPOS";1
"220250 CARACOL";1
"220255 CARIDADE DO PIAUI";2
"220260 CASTELO DO PIAUI";5
"220265 CAXINGO";2
"220270 COCAL";6
"220271 COCAL DE TELHA";1
"220273 COIVARAS";1
"220275 COLONIA DO GURGUEIA";1
"220285 CORONEL JOSE DIAS";1
"220290 CORRENTE";7
"220300 CRISTALANDIA DO PIAUI";3
"220310 CRISTINO CASTRO";1
"220320 CURIMATA";5
"220325 CURRALINHOS";1
"220327 CURRAL NOVO DO PIAUI";1
"220330 DEMERVAL LOBAO";1
"220335 DIRCEU ARCOVERDE";1
"220340 DOM EXPEDITO LOPES";1
"220342 DOMINGOS MOURAO";1
"220350 ELESBAO VELOSO";6
"220370 ESPERANTINA";6
"220385 FLORESTA DO PIAUI";1
"220390 FLORIANO";13
"220420 FRANCISCO SANTOS";2
"220430 FRONTEIRAS";1
"220435 GEMINIANO";2
"220440 GILBUES";2
"220450 GUADALUPE";3
"220455 GUARIBAS";1
"220460 HUGO NAPOLEAO";1
"220465 ILHA GRANDE";3
"220470 INHUMA";5
"220480 IPIRANGA DO PIAUI";2
"220490 ISAIAS COELHO";2
"220510 ITAUEIRA";4
"220520 JAICOS";6
"220527 JATOBA DO PIAUI";1
"220530 JERUMENHA";1
"220540 JOAQUIM PIRES";2
"220545 JOCA MARQUES";1
"220550 JOSE DE FREITAS";16
"220551 JUAZEIRO DO PIAUI";1
"220552 JULIO BORGES";3
"220553 JUREMA";2
"220555 LAGOA ALEGRE";1
"220559 LAGOA DO SITIO";2
"220560 LANDRI SALES";1
"220570 LUIS CORREIA";6
"220580 LUZILANDIA";3
"220595 MARCOLANDIA";4
"220610 MATIAS OLIMPIO";3
"220620 MIGUEL ALVES";8
"220635 MILTON BRANDAO";2
"220640 MONSENHOR GIL";1
"220650 MONSENHOR HIPOLITO";1
"220660 MONTE ALEGRE DO PIAUI";1
"220665 MORRO CABECA NO TEMPO";1
"220680 NOSSA SENHORA DOS REMEDIOS";2
"220690 NOVO ORIENTE DO PIAUI";1
"220695 NOVO SANTO ANTONIO";2
"220700 OEIRAS";8
"220720 PADRE MARCOS";2
"220730 PAES LANDIM";1
"220740 PALMEIRA DO PIAUI";3
"220750 PALMEIRAIS";3
"220770 PARNAIBA";39
"220775 PASSAGEM FRANCA DO PIAUI";1
"220777 PATOS DO PIAUI";1
"220780 PAULISTANA";9
"220790 PEDRO II";11
"220793 PEDRO LAURENTINO";1
"220795 NOVA SANTA RITA";1
"220800 PICOS";10
"220810 PIMENTEIRAS";4
"220820 PIO IX";5
"220830 PIRACURUCA";6
"220840 PIRIPIRI";12
"220850 PORTO";2
"220855 PORTO ALEGRE DO PIAUI";3
"220865 QUEIMADA NOVA";1
"220870 REDENCAO DO GURGUEIA";2
"220890 RIBEIRO GONCALVES";2
"220900 RIO GRANDE DO PIAUI";4
"220910 SANTA CRUZ DO PIAUI";2
"220930 SANTA LUZ";2
"220935 SANTANA DO PIAUI";1
"220937 SANTA ROSA DO PIAUI";1
"220940 SANTO ANTONIO DE LISBOA";1
"220945 SANTO ANTONIO DOS MILAGRES";1
"220950 SANTO INACIO DO PIAUI";1
"220960 SAO FELIX DO PIAUI";1
"220965 SAO FRANCISCO DE ASSIS DO PIAUI";2
"220970 SAO FRANCISCO DO PIAUI";1
"220975 SAO GONCALO DO GURGUEIA";3
"220980 SAO GONCALO DO PIAUI";1
"220997 SAO JOAO DO ARRAIAL";4
"221000 SAO JOAO DO PIAUI";6
"221020 SAO JOSE DO PIAUI";3
"221035 SAO LOURENCO DO PIAUI";2
"221037 SAO LUIS DO PIAUI";3
"221040 SAO MIGUEL DO TAPUIO";2
"221050 SAO PEDRO DO PIAUI";1
"221060 SAO RAIMUNDO NONATO";8
"221065 SIGEFREDO PACHECO";2
"221070 SIMOES";4
"221090 SOCORRO DO PIAUI";1
"221093 SUSSUAPARA";1
"221097 TANQUE DO PIAUI";1
"221100 TERESINA";179
"221110 UNIAO";18
"221120 URUCUI";6
"221130 VALENCA DO PIAUI";5
"221135 VARZEA BRANCA";2
"230010 ABAIARA";1
"230015 ACARAPE";2
"230020 ACARAU";2
"230030 ACOPIARA";6
"230040 AIUABA";3
"230060 ALTANEIRA";2
"230070 ALTO SANTO";1
"230075 AMONTADA";6
"230090 APUIARES";2
"230100 AQUIRAZ";14
"230110 ARACATI";11
"230120 ARACOIABA";4
"230125 ARARENDA";3
"230130 ARARIPE";3
"230140 ARATUBA";4
"230160 ASSARE";2
"230170 AURORA";5
"230185 BANABUIU";1
"230190 BARBALHA";14
"230195 BARREIRA";2
"230200 BARRO";4
"230205 BARROQUINHA";1
"230210 BATURITE";6
"230220 BEBERIBE";9
"230230 BELA CRUZ";4
"230240 BOA VIAGEM";6
"230250 BREJO SANTO";7
"230260 CAMOCIM";10
"230270 CAMPOS SALES";3
"230280 CANINDE";7
"230290 CAPISTRANO";4
"230300 CARIDADE";3
"230310 CARIRE";1
"230320 CARIRIACU";3
"230340 CARNAUBAL";3
"230350 CASCAVEL";13
"230360 CATARINA";2
"230365 CATUNDA";2
"230370 CAUCAIA";55
"230380 CEDRO";7
"230390 CHAVAL";2
"230393 CHORO";3
"230395 CHOROZINHO";6
"230400 COREAU";2
"230410 CRATEUS";10
"230420 CRATO";30
"230423 CROATA";3
"230425 CRUZ";8
"230428 EUSEBIO";8
"230430 FARIAS BRITO";9
"230440 FORTALEZA";348
"230445 FORTIM";4
"230450 FRECHEIRINHA";2
"230460 GENERAL SAMPAIO";3
"230465 GRACA";1
"230470 GRANJA";8
"230495 GUAIUBA";3
"230500 GUARACIABA DO NORTE";5
"230510 GUARAMIRANGA";1
"230520 HIDROLANDIA";4
"230523 HORIZONTE";14
"230526 IBARETAMA";2
"230530 IBIAPINA";2
"230533 IBICUITINGA";1
"230535 ICAPUI";4
"230540 ICO";9
"230550 IGUATU";13
"230560 INDEPENDENCIA";7
"230565 IPAPORANGA";3
"230570 IPAUMIRIM";3
"230580 IPU";7
"230590 IPUEIRAS";4
"230600 IRACEMA";1
"230610 IRAUCUBA";2
"230620 ITAICABA";1
"230625 ITAITINGA";7
"230630 ITAPAJE";10
"230640 ITAPIPOCA";18
"230650 ITAPIUNA";4
"230655 ITAREMA";7
"230660 ITATIRA";4
"230680 JAGUARIBARA";1
"230690 JAGUARIBE";5
"230700 JAGUARUANA";3
"230710 JARDIM";7
"230725 JIJOCA DE JERICOACOARA";2
"230730 JUAZEIRO DO NORTE";44
"230740 JUCAS";2
"230750 LAVRAS DA MANGABEIRA";2
"230760 LIMOEIRO DO NORTE";20
"230763 MADALENA";3
"230765 MARACANAU";30
"230770 MARANGUAPE";9
"230780 MARCO";4
"230790 MARTINOPOLE";1
"230800 MASSAPE";6
"230810 MAURITI";10
"230820 MERUOCA";1
"230830 MILAGRES";3
"230840 MISSAO VELHA";2
"230850 MOMBACA";6
